l_knee_rotation,r_knee_rotation,waist_bending,upper_body_bending
-7.0177126908026315,-6.01117533837514,-1.7245765956476167,-2.178810410320911
-6.001230537533643,-5.429116966144611,-4.617723430289706,-2.315719038749116
-5.004087209759796,-4.820483315527654,-7.7201567781472455,-2.4608508826935926
-4.050354304795438,-4.172127700980731,-10.80220319633201,-2.619711623024349
-3.1526758856703325,-3.47829786213025,-13.613325172797962,-2.7956522198645755
-2.3106787513681835,-2.7429596792913813,-15.934060875036257,-2.988800048763222
-1.512498712705014,-1.9805312778691757,-17.62608782392718,-3.1954557780031707
-0.7388936218401952,-1.2148079570043984,-18.661363769035948,-3.408208697863322
0.03111776550277267,-0.47609095760321174,-19.121594094733684,-3.616782289050512
0.8144063961672239,0.20314517895085396,-19.171511475533677,-3.8093613657608745
1.6189870824914996,0.79337477719965,-19.016900357502173,-3.9740048314005416
2.4414528636807367,1.273040717096486,-18.86065030884948,-4.099771379229755
3.2672054906090318,1.6325710734947676,-18.868519500009064,-4.177351351413918
4.073485993208108,1.876685674441608,-19.151359584108242,-4.199210070203939
4.8345952643908445,2.0246028672550853,-19.764294667287423,-4.159398536189162
5.528207352696866,2.1081171238648575,-20.718718708579097,-4.053226826545009
6.141378444532609,2.1678535040739555,-22.001507887650355,-3.8769520562809396
6.6748254466132835,2.248255592406836,-23.59701984007656,-3.627568450707618
7.144395722782463,2.3919828023624974,-25.510003183586207,-3.302741743346282
7.579335303297092,2.6343525810778727,-27.790645138584157,-2.9009088821176134
8.017738928285866,2.998276038049736,-30.566518212972873,-2.421564578870273
8.50012737483169,3.489898650840115,-34.09030463344792,-1.8657781053113445
9.062272885378508,4.095062301446959,-38.81564868908558,-1.2370008146513938
9.728231259716448,4.776961338227689,-45.5055182685503,-0.5421816556381074
10.504297169235153,5.47602432904275,-55.302218274499495,0.20692840298681256
11.374605617329252,6.1137845049959125,-69.37087250927424,0.9925945480386149
12.299468334706976,6.602512280507476,-87.30945319763026,1.7905013220770432
13.217861303729393,6.860769768530581,-105.59920292418904,2.570200782555285
14.05495462035643,6.831762750727543,-120.46292955292375,3.2968426707594554
14.733746037759424,6.498181360832775,-131.17791244259027,3.9340246853394056
15.187571037001918,5.887075630343046,-138.81627359607214,4.447204241994745
15.369389514903041,5.062471682315806,-144.5071913291476,4.806934509798319
15.255346308125468,4.109342984993156,-148.98188955595094,4.99131053256984
14.843051651102877,3.115854199376678,-152.62276666738953,4.9873249518293035
14.147138660639579,2.159670184615059,-155.56923154212197,4.791153497145516
13.194836735640656,1.3005358613294395,-157.78533422252897,4.40761274305528
12.023143523990012,0.578286152923949,-159.07960360729257,3.8491535548513034
10.677824188867403,0.014273730345928742,-159.06555030350125,3.1347981215858325
9.213533056903426,-0.3855509460849865,-157.01356387946637,2.2893909749430463
7.693866329248645,-0.626985528145698,-151.45078654513568,1.3433834990195526
6.190009238701346,-0.7239180179263696,-139.23647549134432,0.3330983785259578
4.776873813875541,-0.6950456363800617,-115.26126325240504,-0.6989118590533066
3.5263357550547116,-0.5613304022231744,-82.8338527273731,-1.7040583433303425
2.4982978975293664,-0.34448413392217275,-58.93703634933211,-2.6291618446383667
1.7314375911936726,-0.06654416947198638,-45.886476869679335,-3.419634123321326
1.236067809293305,0.24974596125897033,-38.61924260567203,-4.0244211099088085
0.9912223693597392,0.5803418890727172,-34.167537389328594,-4.402164403486516
0.9470142024812449,0.8997764485510212,-31.153786671351455,-4.527535506604582
1.0319650381884307,1.1819913619175215,-28.88637418522934,-4.3964284013695805
1.1637931925527334,1.4021576563832385,-26.968914486417564,-4.028731461090393
1.261364851318832,1.5390580724673089,-25.151552908479907,-3.4677243703945755
1.2553531661702801,1.5773749284084129,-23.282774765799342,-2.7757369857848913
1.0956628410256664,1.5093104545468603,-21.29911849768241,-2.026510237964278
0.7546984995000601,1.3352460658996843,-19.217727786928293,-1.2955147442492476
0.22671330877503784,1.0634469606269972,-17.113484834640342,-0.6500057100088819
-0.47563530271697635,0.7090240803602114,-15.08225711566916,-0.14062988663032652
-1.3260278554235096,0.2924306241657698,-13.206573129044338,0.20399890690865105
-2.2892046464587414,-0.1622929379283225,-11.538332478154837,0.3789813843633177
-3.3248881147341205,-0.6294257380967948,-10.099629204474946,0.40100914623661
-4.390738443425524,-1.0835895087342908,-8.89252943390003,0.30304155835885077
-5.444598776054279,-1.5018147436431266,-7.908356315001016,0.1269075600943609
-6.446401769338121,-1.8654706092387048,-7.1321946206606475,-0.0847724152355969
-7.359961806662056,-2.1617903401237855,-6.543002433165301,-0.2959615923364306
-8.154621736659516,-2.3847351500356817,-6.1118133302336615,-0.48275007756341975
-8.806525644879045,-2.5350677920401323,-5.800595171967159,-0.6363513427130159
-9.299246272695251,-2.6196880629099653,-5.563455791113677,-0.7633154872129113
-9.623612524452518,-2.6504227342875906,-5.350735390156648,-0.8831625255375548
-9.776794876448392,-2.6425036433754086,-5.115431895947572,-1.023961879542397
-9.760911583499487,-2.6129203078571956,-4.820577193375444,-1.216571035932945
-9.58151785922584,-2.578757929107332,-4.445834232561696,-1.488330409212403
-9.246290914814406,-2.5555840443305065,-3.991861367424211,-1.8570406169658285
-8.764064514867256,-2.5559396827155902,-3.4817607465746363,-2.3260518489368796
-8.14419161382234,-2.588004552028859,-2.9597497794187513,-2.881267605835276
-7.3961111343898835,-2.6545200604292596,-2.487625306762121,-3.4907572512902467
-6.529008807128147,-2.752057334819861,-2.139582601975372,-4.107394259956411
-5.55158883094457,-2.8707092645644923,-1.9958643046767415,-4.674421280858825
-4.472147375986321,-2.9942780692963624,-2.135881284901074,-5.133155393649376
-3.2992320342263697,-3.1010353560334396,-2.631822239716837,-5.431425070378486
-2.043073032806179,-3.1651422424044338,-3.544044213230571,-5.531046549475822
-0.7176726736251409,-3.1587990714949252,-4.919485281996246,-5.412840324711308
0.6569750967730996,-3.0551060460106405,-6.793950495362477,-5.078324031420343
2.0534246766547475,-2.831441329998785,-9.198498847491082,-4.548104848473741
3.4370367447629295,-2.472935553844978,-12.169335392118262,-3.8578076458831023
4.768498750873776,-1.9754242046992903,-15.759111889045386,-3.0527927752786317
6.008310734155366,-1.3472045353828257,-20.043301311981825,-2.182821626311507
7.122046422792305,-0.6091152644702746,-25.10224010771508,-1.2973589784450323
8.08478821296241,0.2071000801504221,-30.92320050331388,-0.4416535811312807
8.883506860335148,1.0616874990287322,-37.09015491111513,0.3465667357860279
9.517082930172652,1.9103513875099707,-42.07507647920956,1.0398347130990893
9.994543897620872,2.707840265266586,-42.374474968755145,1.6227767768436265
10.332453780087004,3.4116648773310905,-33.94496105174637,2.0924280794568624
10.552235530370247,3.9862219086225723,-19.860961760336345,2.4565792955688726
10.677837740291933,4.4073065802692355,-9.485309970505725,2.7302600594999844
10.733858354464521,4.6662879634583225,-4.881502826923425,2.9310850473988297
10.744090577577087,4.772636213094438,-3.74680576930022,3.0745376747514466
10.73039985660219,4.753545207248169,-4.35644117005505,3.1702204691299496
10.711810841276488,4.6501351980529995,-5.876601326511313,3.2197623609241375
10.703672848047484,4.510751679577898,-7.93891034343969,3.2166294597550666
10.716802935278615,4.382724444504885,-10.391792202236616,3.1476831441977864
10.756578898184099,4.3043353673202205,-13.188126678116566,2.9960296423061066
10.822042915789108,4.298625488613165,-16.331012023493003,2.7445207967060408
